"","hgnc_symbol","uniprot_gn_id"
"757","GON7","Q9BXV9"
"758","LINC01446",""
"759","TNFSF11","O14788"
"760","TNFSF11","Q5T9Y4"
"761","TNFSF11","Q54A98"
"762","RPS29P28",""
"763","TMEM251",""
"764","LINC02536",""
"765","BRDTP1",""
"766","H3F3AP5",""
"767","BMS1P15",""
"768","BMP15","O95972"
"769","HMGB1P15",""
"770","ELOBP3",""
"771","MTCO2P22",""
"772","MRPS17P5",""
"773","C20orf173","Q96LM9"
"774","C20orf173","Q4VXR9"
"775","THEMIS","Q8N1K5"
"776","THEMIS","A0A0D9SFD2"
"777","CTBP2P5",""
"778","FSHR","F8WBM4"
"779","FSHR","C9JDA1"
"780","FSHR","A0A1D5RMN4"
"781","MTCO1P22",""
"782","SREK1","Q8WXA9"
"783","SREK1","A0A087WY03"
"784","SREK1","E5RFV3"
"785","SREK1","E5RK30"
"786","SREK1","E5RJ76"
"787","FAM20C","Q8IXL6"
"788","FAM20C","A0A0G2JQD6"
"789","ZSWIM1","Q9BR11"
"790","DDAH2","O95865"
"791","DDAH2","Q5SRR8"
"792","DDAH2","Q5SSV3"
"793","DDAH2","V9HW53"
"794","DDAH2","A0A140T971"
"795","TSEN34","B0V3J0"
"796","TSEN34","Q9BSV6"
"797","TSEN34","E7EQB3"
"798","TSEN34","A0A024R4N9"
"799","TSEN34","A9C4B9"
"800","TSEN34","A0A0G2JNK5"
"801","LINC01950",""
"802","EEF1A1P3",""
"803","HLA-T",""
"804","PAN3","Q58A45"
"805","PAN3","A0A0C4DFZ9"
"806","VARS","A0A024RCN6"
"807","VARS","P26640"
"808","VARS","A2ABF4"
"809","VARS","A0A0G2JJT9"
"810","VARS","A0A140T954"
"811","LINC01070",""
"812","CT47A12","Q5JQC4"
"813","LINC01043",""
"814","RPS3AP25",""
"815","ATP5MC1P8",""
"816","LINC01044",""
"817","RPS21","P63220"
"818","RPS21","Q9BYK1"
"819","RPS21","Q8WVC2"
"820","RPS21","Q9BYK2"
